Dataset,Scene Id ,Nav. algorithm,Robot,Pedestrian Collisions,Environment Collisions,Timeouts,Min. Distance Exceeded,Path Lenght,Time 2 Goal,Minimum distance to person,Avg. Speed,Path Irregularity
seq_eth,0,unaware,turtlebot2,0,0,0,0,11.828918199683713,24.319000000000017,0.9192080077641233,0.48640643939650907,6.09362970564527
seq_eth,0,rvo,turtlebot2,0,0,0,0,13.481216647885574,31.543999999999983,0.47389367745107625,0.42737815901235043,3.1919714630104092
seq_eth,0,sacadrl,turtlebot2,3,0,0,0,10.533737139172311,50.916,0.3728856579180452,0.20688461660720228,3.7691226444509445
seq_eth,1,unaware,turtlebot2,4,0,0,0,11.82251149530337,24.28,0.37381564198225115,0.48692386718712394,6.066285316366293
seq_eth,1,rvo,turtlebot2,1,0,0,0,14.945913989000616,41.462999999999994,0.37624881045338493,0.36046388319708217,2.3798765493945275
seq_eth,1,sacadrl,turtlebot2,4,0,0,0,12.019029407095001,54.85900000000001,0.4051527619446598,0.21908947314196392,3.1472776101263595
seq_eth,2,unaware,turtlebot2,1,0,0,0,10.051025963128858,20.937999999999988,0.3430374639545231,0.48003753764107665,0.28024072108223824
seq_eth,2,rvo,turtlebot2,1,0,0,0,10.06488717258376,25.602000000000004,0.41916763947399827,0.39312894198046083,3.0357073158859356
seq_eth,2,sacadrl,turtlebot2,3,0,0,0,12.74704879959065,64.70200000000003,0.4128380606462725,0.19701166578452975,2.2154884469200105
seq_eth,3,unaware,turtlebot2,0,0,0,0,12.058860028664304,24.846000000000004,1.3555256021813684,0.4853441209315102,0.2777174768182506
seq_eth,3,rvo,turtlebot2,0,0,0,0,12.021316517953274,24.764999999999986,1.2984542901386644,0.48541556704838607,0.26466001418406276
seq_eth,3,sacadrl,turtlebot2,0,0,0,0,9.375954417083872,54.58099999999999,0.5215577189489926,0.17178055398552378,3.6730673684578545
seq_eth,4,unaware,turtlebot2,1,0,0,0,11.855467145368989,24.403999999999996,0.4157361388494849,0.48580016166894735,6.042819208265009
seq_eth,4,rvo,turtlebot2,3,0,0,0,14.599669918147912,37.911,0.38497334466452915,0.38510379357305036,4.343908422313568
seq_eth,4,sacadrl,turtlebot2,1,0,0,0,9.046641186040587,46.63899999999998,0.40025291403108243,0.1939715942889125,2.9845781521788743
seq_eth,5,unaware,turtlebot2,1,0,0,0,9.830412453446144,20.35900000000001,0.3789960925202436,0.4828534040692637,6.0317723888732235
seq_eth,5,rvo,turtlebot2,2,0,0,0,11.206167376072399,28.812999999999988,0.4131053384063916,0.3889274763499949,3.9991277881035696
seq_eth,5,sacadrl,turtlebot2,2,0,0,0,9.27541185560573,44.21700000000001,0.44505030911032106,0.20977026608783336,3.538638228232034
seq_eth,6,unaware,turtlebot2,1,0,0,0,11.81050880190825,24.25800000000001,0.4361230839902522,0.4868706736708816,6.0932286990192095
seq_eth,6,rvo,turtlebot2,1,0,0,0,11.893780564689418,25.807000000000016,0.4045480906260515,0.4608742033048944,6.064385541728717
