Dataset,Scene Id ,Nav. algorithm,Robot,Pedestrian Collisions,Environment Collisions,Timeouts,Min. Distance Exceeded,Path Lenght,Time 2 Goal,Minimum distance to person,Avg. Speed,Path Irregularity
seq_eth,0,unaware,turtlebot2,0,0,0,0,11.857451191280642,24.331999999999994,0.7895183099051625,0.4873192171330201,6.0983881061354275
seq_eth,0,sf,turtlebot2,0,0,0,0,13.308387284908614,50.581999999999994,0.7101284561257388,0.2631052011567082,2.5213389388581384
seq_eth,0,rvo,turtlebot2,0,0,0,0,12.248347044459566,30.389999999999986,0.9717396935243602,0.40303873130831097,4.059708581632814
seq_eth,0,sacadrl,turtlebot2,2,0,1,0,29.2404652558955,159.93999999999997,0.4336710554505535,0.18282146589905907,2.9864415473648838
seq_eth,1,unaware,turtlebot2,3,0,0,0,11.86053558965485,24.331999999999994,0.4207432065758325,0.4874459801765105,6.121587971238583
seq_eth,1,sf,turtlebot2,3,0,0,0,20.989882866049744,124.489,0.4157289326786224,0.1686083337969599,2.9644877296328964
seq_eth,1,rvo,turtlebot2,1,0,0,0,13.29033468333422,39.879999999999995,0.4219535629851647,0.3332581415078792,3.420516943712375
seq_eth,1,sacadrl,turtlebot2,3,0,1,0,28.50245835101128,159.93999999999997,0.44123438305973595,0.17820719239096716,2.813659858730826
seq_eth,2,unaware,turtlebot2,1,0,0,0,10.083511143305923,20.798000000000002,0.39280313078581164,0.48483080792893174,0.24832644918279453
seq_eth,2,sf,turtlebot2,0,0,1,0,10.422520281505268,159.93999999999997,0.6094002278719224,0.06516518870517238,2.3529920524208667
seq_eth,2,rvo,turtlebot2,1,0,0,0,11.286489599655738,25.846000000000004,0.4329781464347522,0.4366822564286828,0.4541111385242193
seq_eth,2,sacadrl,turtlebot2,3,0,1,0,31.466125950878872,159.93999999999997,0.4279721376051976,0.19673706359183993,3.4068103324034684
seq_eth,3,unaware,turtlebot2,0,0,0,0,12.024913138092053,24.73599999999999,1.336399022917581,0.4861300589461537,0.24939070980030312
seq_eth,3,sf,turtlebot2,0,0,0,0,17.70190645682656,92.582,1.1878668002218387,0.19120246329552787,2.8701059348559492
seq_eth,3,rvo,turtlebot2,0,0,0,0,12.027247965555956,24.73599999999999,1.265348924614897,0.48622444880158316,0.23619744122862654
seq_eth,3,sacadrl,turtlebot2,0,0,1,0,30.141089543905235,159.93999999999997,0.7899403955655696,0.18845247932915618,3.2488648770294963
seq_eth,4,unaware,turtlebot2,0,0,0,0,11.837418921227457,24.331999999999994,0.5100767232776048,0.4864959280465009,6.096063141459418
seq_eth,4,sf,turtlebot2,2,0,1,0,8.615550391943163,159.93999999999997,0.4475053095139142,0.05386739022097765,4.7892880977345165
seq_eth,4,rvo,turtlebot2,0,0,0,0,13.405435562346403,33.014999999999986,0.8874055809859152,0.4060407560910619,3.978123885080645
seq_eth,4,sacadrl,turtlebot2,2,0,1,0,30.953537792001462,159.93999999999997,0.3980529193791732,0.1935321857696728,2.8270083400939
seq_eth,5,unaware,turtlebot2,1,0,0,0,9.81338245499167,20.293000000000006,0.44674769021194977,0.4835846082388837,6.067462194926647
seq_eth,5,sf,turtlebot2,2,0,1,0,8.329154521658378,159.93999999999997,0.4341903535258056,0.05207674453956721,2.552073437668613
seq_eth,5,rvo,turtlebot2,0,0,0,0,11.981916604236272,32.91399999999999,0.8725720190991905,0.36403708465201057,5.559172499190272
seq_eth,5,sacadrl,turtlebot2,0,0,1,0,17.837135331825795,159.93999999999997,0.7377550046201363,0.11152391729289608,2.261313769693118
seq_eth,6,unaware,turtlebot2,1,0,0,0,11.836945015371668,24.331999999999994,0.41180809630413595,0.48647645139617257,6.097470732181429
seq_eth,6,sf,turtlebot2,2,0,1,0,9.792845135095748,159.93999999999997,0.4325751222583994,0.06122824268535544,3.652587497835642
seq_eth,6,rvo,turtlebot2,1,0,0,0,11.859443863457154,24.331999999999994,0.4131440727752248,0.4874011122578151,6.096445783461809
seq_eth,6,sacadrl,turtlebot2,4,0,1,0,29.972252666481594,159.93999999999997,0.41410632371785333,0.18739685298537953,2.9335270677803047
seq_eth,7,unaware,turtlebot2,0,0,0,0,11.841988810084924,24.331999999999994,0.7149742493044376,0.4866837419893526,6.044972260207853
seq_eth,7,sf,turtlebot2,1,0,1,0,9.212348309428693,159.93999999999997,0.43720407215562496,0.057598776475107506,4.404720857528412
seq_eth,7,rvo,turtlebot2,0,0,0,0,12.774423793115737,30.692000000000007,0.8025489957973884,0.41621346908366136,5.86748520173943
seq_eth,7,sacadrl,turtlebot2,3,0,1,0,25.818427718023287,159.93999999999997,0.433014137379293,0.16142570787809987,3.3862747739479113
